曾庆红,232,A,"A: 63, 21/33.3%"
陈伯达,222,B,"B: 63, 10/15.9%"
陈云,22,E,"C: 63, 16/25.4%"
邓小平,322,C,"D: 63, 5/7.9%"
邓颖超,321,B,"E: 63, 6/9.5%"
董必武,232,A,"F: 63, 5/7.9%"
高岗,12,D,
贺国强,322,C,
胡锦涛,221,A,
胡启立,223,C,
胡耀邦,231,C,
华国锋,221,A,
黄菊,22,E,
贾庆林,232,A,
江泽民,122,A,
康生,11,E,
空缺,11,E,
李德生,221,A,
李富春,231,C,
李济深,231,C,
李克强,232,A,
李岚清,221,A,
李鹏,22,E,
李瑞环,232,A,
李先念,213,A,
李长春,221,A,
林彪,21,F,
刘华清,221,A,
刘少奇,222,B,
刘云山,221,A,
罗干,21,F,
毛泽东,221,A,
彭真,21,F,
乔石,22,E,
任弼时,332,B,
荣毅仁,232,A,
宋平,32,F,
宋庆龄,332,B,
陶铸,23,D,
万里,32,F,
汪东兴,111,A,
王洪文,222,B,
王岐山,221,A,
王震,23,D,
尉健行,332,B,
温家宝,112,B,
乌兰夫,121,C,
吴邦国,212,C,
吴官正,213,A,
习近平,232,A,
杨尚昆,231,C,
姚依林,212,C,
叶剑英,331,A,
俞正声,231,C,
张春桥,112,B,
张德江,121,C,
张高丽,113,C,
张澜,12,D,
赵紫阳,322,C,
周恩来,112,B,
周永康,121,C,
朱德,12,D,
朱镕基,121,C,
,,,
,,,
,,,
