巴岱,bā dài ,13,F,"A: 1260, 323/25.6%"
刘贤权,liú xián quán ,222,B,"B: 1260, 291/23.1%"
宋汉良,sòng hàn liáng ,332,B,"C: 1260, 368/29.2%"
肖作福,xiāo zuò fú ,332,B,"D: 1260, 77/6.1%"
聂荣贵,niè róng guì ,323,A,"E: 1260, 96/7.6%"
赵启正,zhào qǐ zhèng ,323,A,"F: 1260, 95/7.5%"
乌云其木格,wū yún qí mù gé ,12232,-,
扎喜旺徐,zhā xǐ wàng xú ,1232,-,
杨岭多吉,yáng lǐng duō jí ,2212,-,
向巴平措,xiàng bā píng cuò ,3123,-,
江村罗布,jiāng cūn luó bù ,1123,-,
贾那布尔,jiǎ nà bù ěr ,2332,-,
宦爵才郎,huàn jué cái láng ,3222,-,
多杰才旦,duō jié cái dàn ,1223,-,
多吉才让,duō jí cái ràng ,1223,-,
巴图巴根,bā tú bā gēn ,1211,-,
邹家华,zōu jiā huá ,112,B,
邹大鹏,zōu dà péng ,132,C,
庄则栋,zhuāng zé dòng ,123,B,
庄炎林,zhuāng yán lín ,122,A,
庄希泉,zhuāng xī quán ,112,B,
朱治宏,zhū zhì hóng ,132,C,
朱志刚,zhū zhì gāng ,131,B,
朱之鑫,zhū zhī xīn ,111,A,
朱育理,zhū yù lǐ ,132,C,
朱学范,zhū xué fàn ,123,B,
朱森林,zhū sēn lín ,112,B,
朱镕基,zhū róng jī ,121,C,
朱穆之,zhū mù zhī ,131,B,
朱丽兰,zhū lì lán ,132,C,
朱开轩,zhū kāi xuān ,111,A,
朱家璧,zhū jiā bì ,113,C,
朱厚泽,zhū hòu zé ,132,C,
朱光亚,zhū guāng yà ,113,C,
周子健,zhōu zǐ jiàn ,113,C,
周正庆,zhōu zhèng qìng ,133,A,
周永康,zhōu yǒng kāng ,121,C,
周雅光,zhōu yǎ guāng ,121,C,
周小舟,zhōu xiǎo zhōu ,121,C,
周小川,zhōu xiǎo chuān ,121,C,
周文华,zhōu wén huá ,122,A,
周巍峙,zhōu wēi zhì ,113,C,
周声涛,zhōu shēng tāo ,111,A,
周生贤,zhōu shēng xián ,112,B,
周绍铮,zhōu shào zhēng ,131,B,
周荣鑫,zhōu róng xīn ,121,C,
周建人,zhōu jiàn rén ,132,C,
周建南,zhōu jiàn nán ,132,C,
周国富,zhōu guó fù ,123,B,
周光召,zhōu guāng zhào ,113,C,
周恩来,zhōu ēn lái ,112,B,
